"prod_id","prod_codigo","prod_nombre","prod_descripcion","precio_venta","med_id","precio_unitario","medida_unitario","cantidad_paquete","imagen_nombre","cat_id","prod_estado"
"38","ART06282","CETAPHIL PRO AD CONTROL ","HIDRATANTE CORP 295ML	GALDERMA	","140.00","1","140.00","1","1.00",NULL,"1","1"
"39","ART06443","ANTHELIOS AGE CORRECT 50 FPS X 50 ML	","LA ROCHE P	","140.00","1","140.00","1","1.00",NULL,"1","1"
"40","ART06973","FREZYDERM VELVET SUNSCREEN COLOR FACE SPF50+	SSOMA ","PHARMACEUTICA	","138.00","1","138.00","1","1.00",NULL,"1","1"
"41","ART06972","FREZYDERM VELVET SUNSCREEN FACE SPF50+ 50 ML	","SSOMA PHARMACEUTICA	","138.00","1","138.00","1","1.00",NULL,"1","1"
"42","ART06463","PHOTODERM SPOT-AGE  SPF  50+ 40ML	","BIODERMA	","130.00","1","130.00","1","1.00",NULL,"1","1"
"43","ART06705","FINURA TABLETAS FRASCO X 60 - ANTIOXIDANTECH	","CORPORACIO H&K PHARM	","130.00","1","130.00","1","1.00",NULL,"1","1"
"44","ART06890","STRATADERM 10G	","MOT SA","120.00","1","120.00","1","1.00",NULL,"1","1"
"45","ART06988","HIDRO 24 CREMA PIEL MIXTA GEL 50 ML	","PHARMA SOLUTIONS SHO	","120.00","1","120.00","1","1.00",NULL,"1","1"
"46","ART06314","EFFACLAR BB BLUR  30ML	","LA ROCHE P	TUBO	 ","116.00","1","116.00","1","1.00",NULL,"1","1"
"47","ART06742","LIPIKAR BAUME AP+M ECO TUBE X 200ML	","LA ROCHE P	UNIDAD	","116.00","1","116.00","1","1.00",NULL,"1","1"
"48","ART06301","PHOTODERM AR SPF50+  ","30ML	BIODERMA	","115.00","1","115.00","1","1.00",NULL,"1","1"
"49","ART06873","CICAFISS GEL BLANCO DE SILICONA	","FISSIONLAB	X","114.00","1","114.00","1","1.00",NULL,"1","1"
"50","ART06299","PHOTODERM AKN MAT SPF30 ","40ML	BIODERMA	","110.00","1","110.00","1","1.00",NULL,"1","1"
"51","ART06461","PHOTODERM MAX FLUIDE TE40ML SPF100 NC"," (INCOLORO)	BIODERMA	","110.00","1","110.00","1","1.00",NULL,"1","1"
"52","ART06281","CETAPHIL PRO AC CONTROL ESPUMA DE LIMPIEZA 236ML	","GALDERMA	","110.00","1","110.00","1","1.00",NULL,"1","1"
"53","ART06283","CETAPHIL PRO AD CONTROL LIMPIADOR CORP	","GALDERMA	","110.00","1","110.00","1","1.00",NULL,"1","1"
"54","ART06482","EAU THERMALE 300 ML (AGUA TERMAL)	","LA ROCHE P	UNIDAD	S/ 110.00","110.00","1","110.00","1","1.00",NULL,"1","1"
"55","ART06312","LIPIKAR SYNDET AP + 400ML  (GEL DE DUCHA)	","LA ROCHE P	","110.00","1","110.00","1","1.00",NULL,"1","1"
"56","ART07067","QUASIX CREMA X 30 GR	","MEDSTYLE	CREMA POR UNIDAD","110.00","1","110.00","1","1.00",NULL,"1","1"
"57","ART06880","MONODERMA  A15 X"," 28 CAPS	SKINSCIENCE	CAJA	","110.00","6","110.00","6","1.00",NULL,"1","1"
"58","ART06881","MONODERMA E5 X 28 CAPS	","SKINSCIENCE	CAJA	","110.00","6","110.00","1","1.00",NULL,"1","1"
"59","ART06718","FOTOPROTECTOR ISDIN FUSION WATER URBAN ","50 ML	ISDIN	","108.00","1","108.00","1","1.00",NULL,"1","1"
"60","ART06717","ISDIN FOTOPROTECTOR FUSION WATER MAGIC - 50 ML	","50ML ISDIN	","108.00","1","108.00","1","1.00",NULL,"1","1"
"61","ART06999","PHOTODERM M TEINE DOREE TE40ML	","40 ML BIODERMA	UNIDAD","103.00","1","103.00","1","1.00",NULL,"1","1"
"62","ART06868","NEW FOTOPROTECTOR PEDIATRICS FUSION WATER SPF50+ 50ML	","SPF50+ 50ML	ISDIN	","103.00","1","103.00","1","1.00",NULL,"1","1"
"63","ART06989","HIDRO 24 PIELES REACTIVAS 50 ML	","50 ML. PHARMA SOLUTIONS SHO	","103.00","1","103.00","1","1.00",NULL,"1","1"
"64","ART07028","DUDASTERIDE 0.5 MG - FRASCO 30 CAP	","30 CAPSULAS CORPORACIÓN ORANGE H","100.00","1","100.00","1","1.00",NULL,"1","1"
"65","ART06987","STOP AKN HIDRATANTE REPARADORA 50 ML	","PHARMA SOLUTIONS SHO	DE 50 ML. ","98.00","1","98.00","1","1.00",NULL,"1","1"
"66","ART07071","AMINOTER MAX SHAMPOO"," FRASCO X 300 ML	ABBOTT	","96.00","1","96.00","1","1.00",NULL,"1","1"
"67","ART06996","NEW ISDIN FOTOPROTECTOR SUN BRUSH MINERAL - 2GR	","ISDIN	UNIDAD	DE 2 GR.","93.00","1","93.00","1","1.00",NULL,"1","1"
"68","ART06827","AFELIUS OIL FREE GEL TUBO X 90 ML	","AHORROFARMA	UNIDAD DE 90 ML. ","90.00","1","90.00","1","1.00",NULL,"1","1"
"69","ART06304","SEBIUM GEL MOUSSANT 200ML","DE 200 ML. 	BIODERMA	","90.00","1","90.00","1","1.00",NULL,"1","1"
"70","ART06307","SENSIBIO GEL MOUSSANT   200ML	"," BIODERMA	FRASCO	DE 200 ML.","89.00","1","89.00","1","1.00",NULL,"1","1"
"71","ART06298","NODE SHAMPOOING FLUIDE 200ML	","BIODERMA	FRASCO	 DE 200 ML.","85.00","1","85.00","1","1.00",NULL,"1","1"
"72","ART06991","PILOCREX 5% SOLUC. P/PULVERIZ CUTAN ","X 60 ML	BAGO X UNIDAD","84.00","1","84.00","1","1.00",NULL,"1","1"
"73","ART06872","SEBAMED EXTREME DRY SKIN LOCION CORPORAL REPARADORA 10% UREA ","LOCION REPARADORA DE 200 ML	FISSIONLAB	","82.00","1","82.00","1","1.00",NULL,"1","1"
"74","ART07029","MINOXIDIL 5 MG - FRASCO 30 CAP	","FRASCO DE 30 CAPSULAS CORPORACIÓN ORANGE H	","80.00","1","80.00","1","1.00",NULL,"1","1"
"75","ART06934","FORMULA 22: DESPIGMENTANTE F2: FORMULA TRIPLE - AC TRANEXAMICO 3% - BUTILRESORCINOL 0.2%, RESVER..	","FORMULAS QF FAR MAG	","80.00","1","80.00","1","1.00",NULL,"1","1"
"76","ART07008","SENSIBIO H2O FCE 500ML	","FCE 500ML	BIODERMA	","79.00","1","79.00","1","1.00",NULL,"1","1"
"77","ART06310","EAU THERMALE  AGUA TERMALES ","FRASCO X 150ML	LA ROCHE P	","78.00","1","78.00","1","1.00",NULL,"1","1"
"78","ART06286","CERADERM FACE 	","TUBO X 60 ML MEDISCINES	TUBO	S/ ","77.00","1","77.00","1","1.00",NULL,"1","1"
"79","ART06444","FORMULA 13: FACNE:MASCARILLA DE VLEMINCK - BIOAZUFRE 7% ACNEBIOL 4% ALCANFOR7% BASEMASCARILLA NAT...","FORMULAS QF FAR MAG  X	UNIDAD","75.00","1","75.00","1","1.00",NULL,"1","1"
"80","ART06353","FORMULA 21: DESPIGMENTANTE F1 - HIDROQUINONA4% AC.KOJICO2%ACASCORBICO5% CREMA30GR	","FORMULAS QF FAR MAG	CREMA TUBO	","75.00","1","75.00","1","1.00",NULL,"1","1"
"81","ART06289","DEGRALER JARABE X 100 ML	","BAGO	FRASCO","70.00","1","70.00","1","1.00",NULL,"1","1"
"82","ART06450","FORMULA 20: GOMITAS DE ZINC 30 MG :  ZINC 30 MG X 30 GOMITAS	","CORPORACIÓN ORANGE H	","70.00","1","70.00","1","1.00",NULL,"1","1"
"84","ART06449","FORMULA 18: ZINCRES: CAPSULAS DE ZINC  100 MG /  ZINC 100 MG X 30 CAP	","FORMULAS QF FAR MAG X	 30 CAPSULAS ","70.00","1","70.00","1","1.00",NULL,"1","1"
"85","ART06866","FORMULA 19: ZINCRES: CAPSULAS DE ZINC  30 MG ","X 30 CAP	FORMULAS QF FAR MAG	","70.00","1","70.00","1","1.00",NULL,"1","1"
"86","ART06484","FORMULA 6: CREMA  ANTIACNE:  AC RETINOICO 0.025% BASE CREMA  CSP  30G	","FORMULAS QF FAR MAG	UNIDAD	","70.00","1","70.00","1","1.00",NULL,"1","1"
"87","ART06979","ALIZAR 0.05% LOCION CAPILAR FCO 30ML	","AHORROFARMA X	FRASCO	","69.00","1","69.00","1","1.00",NULL,"1","1"
"88","ART07060","PERSPIREX COMFORT ROLL ON X 20 ML	","BAGO	UNIDAD	S/ ","67.00","1","67.00","1","1.00",NULL,"1","1"
"89","ART07059","PERSPIREX ORIGINAL ROLL ON X 20 ML	"," RBAGO	 ROLL ON X 20ML.","67.00","1","67.00","1","1.00",NULL,"1","1"
"90","ART06992","PERSPIREX STRONG ROLL-ON X 20ML	","ROLL-ON X 20ML	BAGO	","67.00","1","67.00","1","1.00",NULL,"1","1"
"91","ART06302","SEBIUM HYDRA  40ML	","BIODERMA	FRASCO	 X 40 ML.","67.00","1","67.00","1","1.00",NULL,"1","1"
"92","ART06667","ALIZAR CREMA 0.05% TBO 30 G	","MEDIDERM	TUBO D	E 30 G.","67.00","1","67.00","1","1.00",NULL,"1","1"
"93","ART06445","FORMULA  17: TALQUIT - CLOTRIMAZOL 1% ÓXIDO DE ZINC 10% ÁCIDO BÓRICO 5% ACIDO TÁNICO BASE TALCO C..	","FORMULAS QF FAR MAG	","65.00","1","65.00","1","1.00",NULL,"1","1"
"94","ART07068","SILICONE GEL SHEETING CAJA X 1 UNID. 4 X 6 CM	","MEDSTYLE CAJA X 1 UNIDAD 4X6 CM.","65.00","1","65.00","1","1.00",NULL,"1","1"
"95","ART06978","LETI AT4 CREMA FACIAL X 50 ML	","X 50 ML	LA ROCHE P	UNIDAD","62.00","1","62.00","1","1.00",NULL,"1","1"
"96","ART06666","NIOFEN 2% CREMA ","TBO 15G	BAGO	TUBO","60.00","1","60.00","1","1.00",NULL,"1","1"
"97","ART06346","FORMULA 4: PIGMENTANTES: LOCION DE BERGAMOTA  // ACEITE DE BERGAMOTA 20% 30ML	","FORMULAS QF FAR MAG	FRASCO	30 ML","60.00","1","60.00","1","1.00",NULL,"1","1"
"98","ART06990","REPARADOR LABIAL 15 ML	","PHARMA SOLUTIONS SHO	UNIDAD	DE 15 ML.","60.00","1","60.00","1","1.00",NULL,"1","1"
"99","ART06296","ATODERM BAUME LEVRES T 15ML	","BIODERMA	FRASCO	 DE 15 ML.","59.00","1","59.00","1","1.00",NULL,"1","1"
"100","ART06448","FORMULA 9: FAGUA DE ALIBOUR: SULFATO DE COBRE 0. 1% SULFATO DE CINC 0.4% ALCOHOL ALCANFORADO 1% AG..","FORMULAS QF FAR MAG	UNIDAD	","57.00","1","57.00","1","1.00",NULL,"1","1"
"101","ART06487","FORMULA 15: VERULAC -  AC.SALICILICO17.5% AC.LACTICO 17.5% COLODION ELASTICO CSP 14ML	","FORMULAS QF FAR MAG	UNIDAD DE 14 ML.","55.00","1","55.00","1","1.00",NULL,"1","1"
"102","ART06323","CICATOPIC 30ML	","MEDISCINES	FRASCO	 DE 30 ML.","55.00","1","55.00","1","1.00",NULL,"1","1"
"103","ART06316","AGUA MICELAR ULTRA X 200ML PIEL SENSIBLE	","LA ROCHE P	FRASCO	DE 200 ML.","53.90","1","53.90","1","1.00",NULL,"1","1"
"104","ART06981","ALERSONA CREMA 1% TBO 20GR	","BAGO	 TUBO DE 20 GR. ","49.00","1","49.00","1","1.00",NULL,"1","1"
"105","ART06871","SEBAMED CREMA MANOS Y UÑAS 75 ML	","FISSIONLAB	UNIDAD	X 75 ML.","46.00","1","46.00","1","1.00",NULL,"1","1"
"106","ART06447","FORMULA 8: SOLUCION DE BUROW: ALUMINIO SULFATO ÁCIDO ACÉTICO GLACIAL CARBONATO DE CALCIO 8% AC...	","FORMULAS QF FAR MAG	UNIDAD	","45.00","1","45.00","1","1.00",NULL,"1","1"
"107","ART06373","NEO NISOPREX 15 MG/ 5ML SOL ORAL FCP X 100ML	","BAGO	FRASCO	X 100ML.","41.00","1","41.00","1","1.00",NULL,"1","1"
"108","ART06768","PROPIEL SYNDET BB LIQUIDO 240 ML	","PROPIEL	UNIDAD	 DE 240 ML.","35.00","1","35.00","1","1.00",NULL,"1","1"
"109","ART07061","NEO NISOPREX SOL ORAL FCP X 60ML	","BAGO	UNIDAD	 X 60ML.","32.00","1","32.00","1","1.00",NULL,"1","1"
"110","ART06879","BUTENFIT CREMA X 15G	LA ROCHE P	UNIDAD	","CREMA LA ROCHE P	UNIDAD	X 15 GR.","29.00","1","29.00","1","1.00",NULL,"1","1"
"111","ART06330","DERMATOPIC PH 5.5 PEDIATRICS   90GR  BARRA	","MEDISCINES	BARRA X 90 GR.","28.00","1","28.00","1","1.00",NULL,"1","1"
"112","ART06974","MASCARILLA EN TELA PURE CARBON 28G		","AHORROFARMA	UNIDAD DE 28 GR.","10.00","1","10.00","1","1.00",NULL,"1","1"
"113","ART07064","TRANEXOL 250 MG	","BAGO	UNIDAD	X 250 MG.","8.80","1","8.80","1","1.00",NULL,"1","1"
"114","ART06287","BAGOMICINA 100 MG X 30 COMPRIMIDOS	","BAGO	TABLETA	X 30 COMPRIMIDOS","8.40","1","8.40","1","1.00",NULL,"1","1"
"115","ART06699","ACNOTIN 20 MG - ISOTRETINOINA	","BAGO UNIDAD X 20 MG.","7.60","1","7.60","1","1.00",NULL,"1","1"
"116","ART06362","AMOXICLIN CL12H //AMOXICILINA / ACIDO CALVULANICO 875MG 125	","AHORROFARMA	COMPRIMIDOS	DE 875 MG.","7.50","1","7.50","1","1.00",NULL,"1","1"
"117","ART07063","BAGOVITAL DIGEST SOL ORAL 20G	","BAGO	UNIDAD	DE 20 GR.","7.30","1","7.30","1","1.00",NULL,"1","1"
"118","ART06293","ACNECLIN 100 AP   MINOCICLINA 100MG  X 30 CAP	","BAGO	TABLETA	 X 30 CAP.","6.00","1","6.00","1","1.00",NULL,"1","1"
"119","ART06291","ROACCUTAN ISOTRETINOINA 10MG X 30 CAPS	","BAGO TABLETA X 30 CAPSULAS","5.70","1","5.70","1","1.00",NULL,"1","1"
"120","ART06288","DEGRALER LEVOCETIRIZINA DICLORHIDRATO 5MG COMP RECUB	","BAGO	TABLETA	 DE 5 MG.","5.50","1","5.50","1","1.00",NULL,"1","1"
"121","ART06884","NUCLEO CMP FORTE	","DE BAGO	UNIDAD	","5.20","1","5.20","1","1.00",NULL,"1","1"
"122","ART06887","RUPAFIN 10 MG	","BAGO	UNIDAD	DE 10 MG.","4.20","1","4.20","1","1.00",NULL,"1","1"
"123","ART06886","TEREKOL 250 MG	","BAGO	UNIDAD	DE 250 MG.","4.00","1","4.00","1","1.00",NULL,"1","1"
"124","ART06693","COXALGEN 90MG X 7 TAB	","AHORROFARMA	UNIDAD	 X 90 MG.","3.70","1","3.70","1","1.00",NULL,"1","1"
"125","ART06704","PREVENCEL X 30 CAP	","BAGO	UNIDAD	X 30 CAPSULAS","3.30","1","3.30","1","1.00",NULL,"1","1"
"126","ART06883","DIXI 35	BAGO	","BAGO	UNIDAD	","2.40","1","2.40","1","1.00",NULL,"1","1"
"127","ART06367","ACICLOVIR 800 MG	","AHORROFARMA	TABLETA DE 800 MG.","2.10","1","2.10","1","1.00",NULL,"1","1"
"128","ART06359","CLINDAMICINA 300MG	","AHORROFARMA	TABLETA	","1.00","1","1.00","1","1.00",NULL,"1","1"
"129","ART06368","FLUCONAZOL 150 MG	","AHORROFARMA	CAPSULAS	DE  150MG","1.00","1","1.00","1","1.00",NULL,"1","1"
"131","ART06885","PREDNISONA 20 MG	","BAGO	UNIDAD	X 20 MG.","0.40","1","0.40","1","1.00",NULL,"1","1"
"132","ART06372","ACIDO FOLICO 0,5 MG	","AHORROFARMA	TABLETA	 X 0.5 MG.","0.30","1","0.30","1","1.00",NULL,"1","1"
"133","ART06888","CARBAMAZEPINA 200 MG	","BAGO	UNIDAD	X 200MG.","0.30","1","0.30","1","1.00",NULL,"1","1"
